candidate_name,district,constituency,party,votes_total,vote_share_pct,position,gender,age,assets,liabilities,criminal_cases
,,Gummidipoondi,,,,1,,,,,
,,Gummidipoondi,,,,4,,,,,
,,Gummidipoondi,,,,6,,,,,
,,Gummidipoondi,,,,3,,,,,
,,Gummidipoondi,,,,12,,,,,
,,Gummidipoondi,,,,7,,,,,
,,Gummidipoondi,,,,2,,,,,
,,Gummidipoondi,,,,8,,,,,
,,Gummidipoondi,,,,9,,,,,
,,Gummidipoondi,,,,11,,,,,
,,Gummidipoondi,,,,13,,,,,
,,Gummidipoondi,,,,10,,,,,
,,Gummidipoondi,,,,5,,,,,
,,Ponneri,,,,1,,,,,
,,Ponneri,,,,2,,,,,
,,Ponneri,,,,7,,,,,
,,Ponneri,,,,4,,,,,
,,Ponneri,,,,3,,,,,
,,Ponneri,,,,5,,,,,
,,Ponneri,,,,10,,,,,
,,Ponneri,,,,8,,,,,
,,Ponneri,,,,11,,,,,
,,Ponneri,,,,9,,,,,
,,Ponneri,,,,6,,,,,
,,Tiruttani,,,,2,,,,,
,,Tiruttani,,,,4,,,,,
,,Tiruttani,,,,1,,,,,
,,Tiruttani,,,,8,,,,,
,,Tiruttani,,,,3,,,,,
,,Tiruttani,,,,10,,,,,
,,Tiruttani,,,,13,,,,,
,,Tiruttani,,,,9,,,,,
,,Tiruttani,,,,14,,,,,
,,Tiruttani,,,,15,,,,,
,,Tiruttani,,,,11,,,,,
,,Tiruttani,,,,12,,,,,
,,Tiruttani,,,,6,,,,,
,,Tiruttani,,,,7,,,,,
,,Tiruttani,,,,5,,,,,
,,Thiruvallur,,,,1,,,,,
,,Thiruvallur,,,,4,,,,,
,,Thiruvallur,,,,2,,,,,
,,Thiruvallur,,,,6,,,,,
,,Thiruvallur,,,,3,,,,,
,,Thiruvallur,,,,10,,,,,
,,Thiruvallur,,,,12,,,,,
,,Thiruvallur,,,,9,,,,,
,,Thiruvallur,,,,11,,,,,
,,Thiruvallur,,,,7,,,,,
,,Thiruvallur,,,,8,,,,,
,,Thiruvallur,,,,5,,,,,
,,Poonamallee,,,,1,,,,,
,,Poonamallee,,,,6,,,,,
,,Poonamallee,,,,2,,,,,
,,Poonamallee,,,,5,,,,,
,,Poonamallee,,,,11,,,,,
,,Poonamallee,,,,3,,,,,
,,Poonamallee,,,,4,,,,,
,,Poonamallee,,,,9,,,,,
,,Poonamallee,,,,15,,,,,
,,Poonamallee,,,,14,,,,,
,,Poonamallee,,,,8,,,,,
,,Poonamallee,,,,12,,,,,
,,Poonamallee,,,,13,,,,,
,,Poonamallee,,,,10,,,,,
,,Poonamallee,,,,7,,,,,
,,Avadi,,,,6,,,,,
,,Avadi,,,,8,,,,,
,,Avadi,,,,1,,,,,
,,Avadi,,,,2,,,,,
,,Avadi,,,,4,,,,,
,,Avadi,,,,7,,,,,
,,Avadi,,,,15,,,,,
,,Avadi,,,,16,,,,,
,,Avadi,,,,3,,,,,
,,Avadi,,,,17,,,,,
,,Avadi,,,,21,,,,,
,,Avadi,,,,18,,,,,
,,Avadi,,,,14,,,,,
,,Avadi,,,,13,,,,,
,,Avadi,,,,20,,,,,
,,Avadi,,,,12,,,,,
,,Avadi,,,,9,,,,,
,,Avadi,,,,19,,,,,
,,Avadi,,,,10,,,,,
,,Avadi,,,,11,,,,,
,,Avadi,,,,5,,,,,
,,Maduravoyal,,,,1,,,,,
,,Maduravoyal,,,,8,,,,,
,,Maduravoyal,,,,2,,,,,
,,Maduravoyal,,,,10,,,,,
,,Maduravoyal,,,,4,,,,,
,,Maduravoyal,,,,7,,,,,
,,Maduravoyal,,,,20,,,,,
,,Maduravoyal,,,,15,,,,,
,,Maduravoyal,,,,3,,,,,
,,Maduravoyal,,,,18,,,,,
,,Maduravoyal,,,,5,,,,,
,,Maduravoyal,,,,14,,,,,
,,Maduravoyal,,,,19,,,,,
,,Maduravoyal,,,,17,,,,,
,,Maduravoyal,,,,16,,,,,
,,Maduravoyal,,,,11,,,,,
